Product code,Product name,Category,Sub category,Season,Cost price (EUR),RRP (EUR),WKs active (to date),Launch date,Product count,Sales U BR,Sales € BR (EUR),Sales U AR,Sales € AR (EUR),ST % (to date),Avg weekly ST % (all time),TROS BR Avg,First 3 WK ROS,GP %,RR %,"RR % (units, all time)",Returns U,ATS U,Stock U
24-2-SU24-6-100,Liquid Jersey Scarf | Black,Scarves,Liquid,Carry over,3.63,25,59,22/1/2025,1,"1,607","34,311","1,594","34,046",67%,1%,125.7,54,83.80%,1%,2%,13,"6,605","5,011"
24-2-SU24-6-461,Liquid Jersey Scarf | Vintage Purple,Scarves,Liquid,Fall25.2,5.62,25,7,21/1/2026,1,"1,248","26,405","1,169","24,773",100%,12%,92.6,285.7,75.70%,6%,4%,79,"1,179",10
24-2-FA24-25-162,Bamboo Jersey Scarf | Dark Brown,Scarves,Bamboo,Fall25.1,7,29,7,21/1/2026,1,"1,190","29,350","1,153","28,437",53%,7%,93.3,200.7,74.10%,3%,3%,37,"4,130","2,977"
23-2-FA23-8-439,Premium Jersey Scarf | Dark Cherry,Scarves,Premium,Fall25.2,5.76,25,7,21/1/2026,1,"1,030","22,029",971,"20,833",100%,13%,92.2,363,78.00%,6%,4%,59,973,2
24-2-SU24-6-451,Liquid Jersey Scarf | Burnt Red,Scarves,Liquid,Fall25.2,5.62,25,7,21/1/2026,1,915,"19,452",886,"18,833",73%,10%,71.9,126.3,76.50%,3%,4%,29,"2,026","1,140"
23-2-FA23-8-131,Premium Jersey Scarf | Chocolate,Scarves,Premium,Fall25.1,5.76,25,7,21/1/2026,1,866,"18,295",831,"17,574",61%,8%,65.3,125.7,75.20%,4%,4%,35,"4,123","3,292"
23-2-FA23-8-469,Premium Jersey Scarf | Ash Brown,Scarves,Premium,Fall25.1,5.76,25,20,21/10/2025,1,860,"18,003",826,"17,323",85%,4%,72.1,940,72.60%,4%,4%,34,"1,803",977
23-2-FA23-8-100,Premium Jersey Scarf | Black,Scarves,Premium,Carry over,6.49,25,59,22/1/2025,1,813,"17,431",783,"16,792",65%,1%,75.9,139.3,73.40%,4%,3%,30,"14,455","13,672"
24-2-FA24-25-100,Bamboo Jersey Scarf | Black,Scarves,Bamboo,Fall25.1,7.27,29,52,10/3/2025,1,770,"19,017",753,"18,609",46%,1%,60.7,181.7,72.80%,2%,3%,17,"5,319","4,566"
24-2-SU24-6-162,Liquid Jersey Scarf | Dark Brown,Scarves,Liquid,Fall25.1,5.62,25,20,21/10/2025,1,778,"16,495",735,"15,579",100%,5%,92.2,612.3,74.10%,6%,5%,43,734,-1
24-2-FA24-18-162,The Unique Flock Premium | Dark Brown,Scarves,Decorative,Fall25.1,5.85,45,20,21/10/2025,1,736,"27,282",715,"26,492",99%,5%,51.3,1,84.20%,3%,3%,21,741,26
24-2-SU24-6-366,Liquid Jersey Scarf | Dark Pearl,Scarves,Liquid,Spring25.2,5.76,25,7,21/1/2026,1,559,"11,817",535,"11,317",58%,8%,44.2,84.7,74.60%,4%,5%,24,"1,778","1,243"
23-2-FA23-8-452,Premium Jersey Scarf | Marron,Scarves,Premium,Fall25.1,5.76,25,20,21/10/2025,1,546,"11,423",522,"10,967",94%,5%,44.7,712.7,72.60%,4%,5%,24,814,292
24-2-SU24-6-131,Liquid Jersey Scarf | Chocolate,Scarves,Liquid,Fall25.1,5.62,25,20,21/10/2025,1,483,"10,180",467,"9,919",59%,3%,39.3,431.3,73.80%,3%,4%,16,"2,326","1,859"
23-2-FA23-8-450,Premium Jersey Scarf | Mushroom,Scarves,Premium,Fall25.2,5.76,25,16,17/11/2025,1,460,"9,727",430,"9,118",96%,6%,37.6,50.7,74.40%,7%,5%,30,539,109
24-L-41-102,Magnetic Gift Box | Off White,Operational supplies,(none),(none),1.51,5,51,22/3/2025,1,416,790,415,790,70%,1%,94.7,234,21.80%,0%,3%,1,"1,352",937
23-2-FA23-7-439,Breathable Jersey Scarf | Dark Cherry,Scarves,Breathable,Fall25.1,7.17,39,20,21/10/2025,1,401,"12,983",385,"12,466",61%,3%,48.6,245,77.90%,4%,5%,16,"1,733","1,348"
23-2-FA23-8-324,Premium Jersey Scarf | Mink,Scarves,Premium,Carry over,5.98,25,7,21/1/2026,1,401,"8,536",370,"7,897",71%,9%,33.4,101.7,74.70%,8%,7%,31,"2,784","2,414"
23-2-FA23-8-111,Premium Jersey Scarf | Latte,Scarves,Premium,Carry over,5.91,25,7,21/1/2026,1,379,"7,992",364,"7,681",46%,6%,30.3,31.7,73.80%,4%,25%,15,"2,472","2,108"
23-2-FA23-8-446,Premium Jersey Scarf | Smoked Green,Scarves,Premium,Fall25.1,5.76,25,20,21/10/2025,1,352,"7,305",343,"7,111",79%,4%,44,269.7,72.20%,3%,4%,9,859,516
23-2-FA23-13-100,The Unique - Premium Jersey | Black,Scarves,Decorative scarves,Carry over,10.53,55,20,21/10/2025,1,323,"14,896",311,"14,311",75%,4%,34,201,78.50%,4%,4%,12,"2,230","1,919"
23-2-FA23-8-278,Premium Jersey Scarf | Off White,Scarves,Premium,Fall25.1,5.87,25,7,21/1/2026,1,319,"6,778",310,"6,590",72%,9%,25,37.3,74.40%,3%,11%,9,"1,137",827
25-2-FA25-17-100,The Monogram Flock Scarf Premium | Black,Scarves,Decorative,Fall25.1,5.69,45,17,14/11/2025,1,309,"11,683",308,"11,646",45%,3%,23.9,130.7,85.40%,0%,2%,1,"1,951","1,643"
Shopify NL::gift-card,MERRACHI E-Gift Card,(none),(none),(none),0,0,0,Not yet launched,1,305,"27,998",305,"27,998",100%,0%,91,0,100.00%,0%,0%,0,305,0
23-2-FA23-13-469,The Unique - Premium Jersey | Ash Brown,Scarves,Decorative,Fall25.1,9.5,55,7,21/1/2026,1,294,"13,451",284,"13,032",46%,6%,29.8,78.3,80.20%,3%,3%,10,"2,234","1,950"
24-2-SP24-6-100,Premium Jersey Khimaar | Black,Hijab/khimaar,Khimaar,Carry over,9.61,49,59,22/1/2025,1,273,"11,160",253,"10,354",83%,1%,18.7,14.3,77.60%,7%,9%,20,572,319
24-2-SU24-6-459,Liquid Jersey Scarf | Basil,Scarves,Liquid,Fall25.1,5.62,25,20,21/10/2025,1,259,"5,386",249,"5,200",98%,5%,31.2,245.7,73.10%,4%,3%,10,286,37
24-2-FA24-25-324,Bamboo Jersey Scarf | Mink,Scarves,Bamboo,Fall25.2,7,29,16,17/11/2025,1,259,"6,294",248,"6,039",58%,4%,22.3,54.3,72.20%,4%,5%,11,"1,022",774
23-2-FA23-8-248,Premium Jersey Scarf | Deep Brown,Scarves,Premium,Fall25.2,6.46,25,20,21/10/2025,1,248,"5,197",236,"4,939",51%,2%,30.2,212.7,69.10%,5%,7%,12,"3,118","2,882"
23-2-FA23-8-453,Premium Jersey Scarf | Light Plum,Scarves,Premium,Fall25.1,5.76,25,20,21/10/2025,1,241,"5,005",230,"4,777",49%,2%,18.8,235.7,72.30%,5%,6%,11,"1,613","1,383"
23-2-FA23-13-131,The Unique - Premium Jersey | Chocolate,Scarves,Decorative,Fall25.1,9.5,55,20,21/10/2025,1,234,"10,987",228,"10,705",52%,3%,17.6,209.3,81.50%,3%,5%,6,"1,270","1,042"
23-2-FA23-8-112,Premium Jersey Scarf | Elephant,Scarves,Premium,Spring25.2,5.91,25,7,21/1/2026,1,239,"5,151",227,"4,893",55%,7%,18.8,35,81.60%,5%,5%,12,"1,411","1,184"
24-2-SU24-6-324,Liquid Jersey Scarf | Mink,Scarves,Liquid,Carry over,5.78,25,73,17/10/2024,1,228,"4,926",219,"4,735",48%,1%,19.5,269,78.50%,4%,9%,9,"2,145","1,926"
23-2-FA23-8-441,Premium Jersey Scarf | Fig,Scarves,Premium,Fall25.2,5.76,25,16,17/11/2025,1,227,"4,716",213,"4,426",87%,5%,28.1,68,72.30%,6%,6%,14,399,186
24-2-FA24-25-452,Bamboo Jersey Scarf | Marron,Scarves,Bamboo,Fall25.2,7,29,16,17/11/2025,1,216,"5,240",202,"4,905",61%,4%,17.4,105,71.20%,6%,5%,14,"1,089",887
23-2-FA23-8-187,Premium Jersey Scarf | Dark Lavender,Scarves,Premium,Spring25.1,6.49,25,7,21/1/2026,1,200,"4,168",198,"4,126",66%,9%,19.1,23.3,69.50%,1%,7%,2,"1,767","1,569"
24-2-SU24-7-100,Premium Jersey Prayer Skirt | Black,Bottoms,Skirts,Carry over,11.52,49,26,12/9/2025,1,217,"8,861",196,"8,012",72%,3%,14.7,0.3,72.70%,10%,18%,21,582,386
23-2-FA23-8-445,Premium Jersey Scarf | Dried Leaf,Scarves,Premium,Fall25.2,5.76,25,16,17/11/2025,1,202,"4,201",195,"4,049",35%,2%,16.2,19,73.50%,3%,5%,7,"1,209","1,014"
25-2-SP25-6-278,Soft Rayon Top | Off White,Tops,Blouse,Spring25.1,15.41,64,7,21/1/2026,1,241,"12,901",194,"10,397",83%,11%,16.3,43,76.10%,20%,26%,47,280,86
23-2-FA23-8-449,Premium Jersey Scarf | Chai,Scarves,Premium,Fall25.1,5.76,25,20,21/10/2025,1,203,"4,281",188,"3,966",43%,2%,15.9,345,72.50%,7%,7%,15,"2,543","2,355"
25-4-FA25-14-436,Merrachi Water Bottle | Porcelain,Accessories,Misc,Fall25.1,3.31,39,2,27/2/2026,1,188,"6,085",188,"6,085",36%,14%,34.9,70.3,90.00%,0%,0%,0,528,340
23-2-FA23-8-447,Premium Jersey Scarf | Warm Olive,Scarves,Premium,Fall25.1,5.76,25,20,21/10/2025,1,191,"3,936",183,"3,791",75%,4%,16.5,273,72.20%,4%,4%,8,806,623
24-4-FA24-3-131,Oval Tote Bag | Chocolate,Accessories,Tote bags,Fall25.1,5.1,39,20,21/10/2025,1,182,"5,878",179,"5,776",99%,5%,21,182.7,84.20%,2%,5%,3,195,16
23-2-FA23-7-100,Breathable Jersey Scarf | Black,Scarves,Breathable,Carry over,7.74,39,59,22/1/2025,1,187,"6,239",176,"5,871",68%,1%,15.9,17,77.10%,6%,12%,11,"3,093","2,917"
23-2-FA23-8-193,Premium Jersey Scarf | Soft Bordeaux,Scarves,Premium,Carry over,6.49,25,50,24/3/2025,1,179,"3,669",176,"3,606",72%,1%,16.4,28,68.50%,2%,7%,3,"1,375","1,199"
24-2-FA24-25-176,Bamboo Jersey Scarf | Dusty Bone,Scarves,Bamboo,Fall25.2,7,29,16,17/11/2025,1,184,"4,424",176,"4,221",39%,2%,14.4,28,70.80%,4%,5%,8,"1,262","1,086"
24-2-FA24-25-454,Bamboo Jersey Scarf | Dark Pistachio,Scarves,Bamboo,Fall25.1,7,29,7,21/1/2026,1,179,"4,472",171,"4,275",41%,5%,13.7,26.3,78.10%,4%,6%,8,"1,195","1,024"
23-1-FA23-12-102,City Girl Bag | Off White,Accessories,Tote bag,Carry over,6.27,24,20,21/10/2025,1,171,"3,416",168,"3,356",72%,4%,41.4,69.7,68.60%,2%,5%,3,519,351
24-2-SU24-6-253,Liquid Jersey Scarf | Powder,Scarves,Liquid,Fall25.2,5.62,25,16,17/11/2025,1,173,"3,609",164,"3,418",52%,3%,13.5,19.3,73.70%,5%,6%,9,698,534
24-2-SU24-6-458,Liquid Jersey Scarf | Toffee,Scarves,Liquid,Fall25.1,5.62,25,20,21/10/2025,1,169,"3,537",164,"3,434",82%,4%,14.8,329.3,73.50%,3%,7%,5,538,374
24-2-FA24-25-440,Bamboo Jersey Scarf | White Honey,Scarves,Bamboo,Fall25.1,7,29,20,21/10/2025,1,170,"4,039",159,"3,870",85%,4%,20.7,44.7,71.20%,6%,6%,11,241,82
24-2-FA24-25-436,Bamboo Jersey Scarf | Porcelain,Scarves,Bamboo,Fall25.1,7,29,20,21/10/2025,1,170,"4,163",156,"3,824",57%,3%,14.4,38.7,71.40%,8%,6%,14,653,497
25-2-SP25-4-278,Soft Rayon Dress | Off White,Dresses,Casual,Spring25.1,21.4,89,7,21/1/2026,1,207,"15,410",152,"11,351",91%,11%,16.9,46.7,74.50%,27%,36%,55,183,31
23-2-FA23-7-162,Breathable Jersey Scarf | Dark Brown,Scarves,Breathable,Carry over,7.74,39,20,21/10/2025,1,161,"5,304",149,"4,916",67%,3%,13.5,240.7,77.60%,7%,5%,12,"1,199","1,050"
24-4-SP24-1-467,"Hijab 3 Pin Set | Brown, Khaki, Cherry",Accessories,Hijab pins,Fall25.1,4.92,19,20,21/10/2025,1,148,"2,362",144,"2,299",79%,4%,34.6,88.3,69.20%,3%,3%,4,311,167
24-2-SU24-6-111,Liquid Jersey Scarf | Latte,Scarves,Liquid,Fall25.1,5.62,25,7,21/1/2026,1,145,"3,051",136,"2,856",39%,5%,15.3,36,74.40%,6%,7%,9,"1,593","1,457"
25-2-SP25-5-278,Soft Rayon Pants | Off White,Bottoms,Pants,Spring25.1,16.61,69,7,21/1/2026,1,162,"9,293",134,"7,704",58%,7%,10.8,28.3,76.30%,17%,25%,28,344,210
24-1-SP24-18-307,Kaftan Dress Regular | Dark Rose,Dresses,Occasion,Spring25.2,16.55,129,7,21/1/2026,1,133,"13,378",132,"13,270",69%,10%,13.8,0.3,83.70%,1%,40%,1,829,697
24-2-SU24-6-372,Liquid Jersey Scarf | Nougat,Scarves,Liquid,Spring25.1,5.72,25,52,10/3/2025,1,140,"2,908",131,"2,720",60%,1%,14.2,77,72.70%,6%,22%,9,"1,618","1,487"
23-2-FA23-7-258,Breathable Jersey Scarf | Cashmere,Scarves,Breathable,Carry over,7.7,39,41,28/5/2025,1,140,"4,607",126,"4,156",73%,2%,14.7,44,78.50%,10%,11%,14,"1,193","1,067"
24-2-SU24-6-441,Liquid Jersey Scarf | Fig,Scarves,Liquid,Fall25.2,5.62,25,16,17/11/2025,1,129,"2,654",123,"2,530",65%,4%,11.1,48.7,72.70%,5%,7%,6,604,481
23-2-FA23-8-253,Premium Jersey Scarf | Powder,Scarves,Premium,Fall25.2,5.76,25,16,17/11/2025,1,128,"2,671",121,"2,521",46%,3%,10.6,38,72.80%,5%,6%,7,809,688
24-2-SU24-6-437,Liquid Jersey Scarf | Desert Clay,Scarves,Liquid,Fall25.1,5.62,25,20,21/10/2025,1,121,"2,535",119,"2,494",50%,2%,10.6,159.7,73.60%,2%,8%,2,"1,040",921
25-4-FA25-14-437,Merrachi Water Bottle | Desert Clay,Accessories,Misc,Fall25.1,3.31,39,2,27/2/2026,1,118,"3,926",118,"3,926",53%,19%,34.9,38.3,91.70%,0%,0%,0,224,106
23-2-FA23-12-100,Essential Jersey Dress Regular | Black,Dresses,Essential,Carry over,14.96,89,11,22/12/2025,1,126,"9,090",117,"8,531",99%,8%,21.9,-22.3,79.50%,7%,15%,9,217,100
24-2-FA24-18-437,The Unique Flock Premium | Desert Clay,Scarves,Decorative scarves,Fall25.1,6.06,45,20,21/10/2025,1,117,"4,407",114,"4,296",97%,5%,13.1,108.7,84.10%,3%,6%,3,138,24
24-2-FA24-25-278,Bamboo Jersey Scarf | Off White,Scarves,Bamboo,Spring25.1,7.27,29,52,10/3/2025,1,125,"3,101",114,"2,836",74%,1%,9.8,83,76.20%,9%,9%,11,820,706
23-2-FA23-8-448,Premium Jersey Scarf | Wood Brown,Scarves,Premium,Fall25.1,5.76,25,16,17/11/2025,1,123,"2,538",113,"2,331",25%,2%,11.5,46,72.10%,8%,8%,10,"2,318","2,205"
23-2-FA23-7-457,Breathable Jersey Scarf | Red Grape,Scarves,Breathable,Fall25.1,7.17,39,20,21/10/2025,1,121,"3,899",110,"3,521",66%,3%,9.6,253.3,79.20%,9%,16%,11,720,610
25-2-FA25-17-452,The Monogram Flock Scarf Premium | Marron,Scarves,Decorative,Fall25.1,5.69,45,17,14/11/2025,1,113,"4,243",108,"4,057",99%,6%,12.4,84.3,84.90%,4%,4%,5,113,5
24-2-SU24-6-456,Liquid Jersey Scarf | Red Wood,Scarves,Liquid,Fall25.2,5.62,25,16,17/11/2025,1,121,"2,563",107,"2,294",77%,5%,10,106,75.30%,12%,6%,14,505,398
25-1-SP25-36-307,Kaftan Dress Short | Dark Rose,Dresses,Occasion,Spring25.2,15.53,129,7,21/1/2026,1,110,"11,802",106,"11,372",34%,6%,11.6,2.3,85.50%,4%,38%,4,800,694
24-2-SU24-6-387,Liquid Jersey Scarf | Aqua Gray,Scarves,Liquid,Spring25.2,5.76,25,7,21/1/2026,1,107,"2,232",104,"2,169",73%,9%,13.1,15,72.70%,3%,12%,3,899,795
24-2-FA24-25-239,Bamboo Jersey Scarf | Sage,Scarves,Bamboo,Fall25.1,7,29,20,21/10/2025,1,103,"2,488",100,"2,415",67%,3%,12.1,33.3,71.00%,3%,6%,3,272,172
26-4-GB-13-314,Unity Limited Edition Scarf Gift Box | Multi Color,Scarves,Decorative,(none),6.58,130,2,27/2/2026,1,100,"10,834",100,"10,834",16%,6%,55,36.7,93.90%,0%,0%,0,630,530
24-2-FA24-25-447,Bamboo Jersey Scarf | Warm Olive,Scarves,Bamboo,Fall25.1,7,29,20,21/10/2025,1,101,"2,413",96,"2,316",32%,2%,25.4,95,71.00%,5%,4%,5,"1,706","1,610"
24-4-FA24-3-439,Oval Tote Bag | Dark Cherry,Accessories,Tote bags,Fall25.2,5.1,39,16,17/11/2025,1,95,"3,064",94,"3,032",78%,5%,24,50,84.20%,1%,5%,1,283,189
24-2-FA24-25-366,Bamboo Jersey Scarf | Dark Pearl,Scarves,Bamboo,Spring25.2,7.33,29,7,21/1/2026,1,102,"2,460",92,"2,218",36%,5%,9.5,19.3,69.60%,10%,11%,10,"1,493","1,401"
23-2-FA23-8-355,Premium Jersey Scarf | Desert Brown,Scarves,Premium,Spring25.1,5.87,25,7,21/1/2026,1,90,"1,872",90,"1,872",35%,5%,11.4,0.3,72.40%,0%,8%,0,"1,299","1,209"
26-L-07-541,Merrachi Gift Box | Pink,Operational supplies,Shipping materials,(none),3.15,8,1,6/3/2026,1,87,580,87,580,30%,37%,145,72.5,52.70%,0%,0%,0,286,199
24-4-SP24-1-319,Hijab 3 Pin Set | Triple Black,Accessories,Hijab pins,Carry over,5.45,19,20,21/10/2025,1,87,"1,346",85,"1,308",56%,3%,7.4,27.7,65.00%,2%,5%,2,869,784
23-2-FA23-8-405,Premium Jersey Scarf | Lake,Scarves,Premium,Carry over,6.11,25,40,5/6/2025,1,84,"1,759",83,"1,738",100%,2%,17.6,30.3,70.80%,1%,6%,1,83,0
24-2-FA24-21-374,Bamboo Tied Underscarf | Khaki,Scarves,Underscarf,Fall25.1,2.6,19,20,21/10/2025,1,82,"1,311",81,"1,295",85%,4%,6.3,18.7,84.30%,1%,5%,1,128,47
25-4-FA25-14-374,Merrachi Water Bottle | Khaki,Accessories,Misc,Fall25.1,3.31,39,2,27/2/2026,1,82,"2,640",80,"2,569",38%,14%,12.2,23.7,91.00%,2%,2%,2,208,128
26-L-07-542,Merrachi Gift Box | Brown,Operational supplies,Shipping materials,(none),3.15,8,1,6/3/2026,1,80,530,80,530,19%,25%,171,85.5,52.40%,0%,0%,0,427,347
23-1-FA23-12-439,City Girl Bag | Dark Cherry,Accessories,Tote bags,Fall25.2,6.57,24,16,17/11/2025,1,80,"1,674",77,"1,610",91%,5%,7.2,19,77.60%,4%,2%,3,116,39
24-2-FA24-25-456,Bamboo Jersey Scarf | Red Wood,Scarves,Bamboo,Fall25.2,7,29,16,17/11/2025,1,80,"1,858",75,"1,733",28%,2%,6.7,43,70.90%,6%,8%,5,"1,764","1,689"
24-2-FA24-4-162,Neoprene Bomber | Dark Brown,Outerwear,Bomber,Fall25.2,21.78,99,16,17/11/2025,1,100,"7,874",72,"5,629",56%,3%,17,7.7,72.90%,28%,22%,28,508,436
24-2-FA24-25-437,Bamboo Jersey Scarf | Desert Clay,Scarves,Bamboo,Fall25.1,7,29,7,21/1/2026,1,82,"1,876",72,"1,631",37%,5%,6.5,15.7,72.10%,12%,13%,10,"1,148","1,076"
25-2-FA25-13-439,High Neck Tee | Dark Cherry,Tops,Ls top,Fall25.1,10.46,59,20,21/10/2025,1,112,"5,420",69,"3,290",89%,4%,9.5,75,79.30%,38%,27%,43,159,90
23-2-FA23-8-307,Premium Jersey Scarf | Dark Rose,Scarves,Premium,Carry over,5.91,25,7,21/1/2026,1,68,"1,391",68,"1,391",62%,8%,7.3,1.3,71.50%,0%,31%,0,686,618
24-2-FA24-18-324,The Unique Flock Premium | Mink,Scarves,Decorative scarves,Carry over,6.44,45,16,17/11/2025,1,75,"2,835",68,"2,558",100%,6%,15.3,41.3,83.10%,9%,8%,7,68,0
23-2-FA23-8-437,Premium Jersey Scarf | Desert Clay,Scarves,Premium,Fall25.2,5.76,25,16,17/11/2025,1,73,"1,511",66,"1,368",29%,2%,7,24.3,72.60%,10%,7%,7,"1,012",946
25-1-SP25-37-307,Satin Trim Blouse | Dark Rose,Tops,Blouse,Spring25.2,11.48,69,7,21/1/2026,1,65,"3,653",65,"3,653",44%,6%,6.1,0,79.60%,0%,36%,0,675,610
25-2-SP25-9-162,Essential Jersey Dress Short | Dark Brown,Dresses,Essential,Fall25.1,8.89,89,20,21/10/2025,1,94,"7,010",65,"4,852",94%,5%,8.9,75,88.30%,31%,24%,29,95,30
24-2-SU24-6-389,Liquid Jersey Scarf | Purple Fog,Scarves,Liquid,Spring25.2,5.76,25,7,21/1/2026,1,62,"1,306",62,"1,306",52%,7%,9.1,0,74.90%,0%,22%,0,"1,135","1,073"
25-2-FA25-13-162,High Neck Tee | Dark Brown,Tops,Ls top,Fall25.1,10.46,59,20,21/10/2025,1,92,"4,660",61,"3,125",88%,4%,10.6,83.7,83.30%,34%,26%,31,159,98
25-2-FA25-13-100,High Neck Tee | Black,Tops,Ls top,Fall25.2,10.42,59,19,28/10/2025,1,93,"4,484",59,"2,834",86%,4%,8.2,95.7,78.30%,37%,23%,34,123,64
25-2-SP25-9-100,Essential Jersey Dress Short | Black,Dresses,Essential,Fall25.1,9.44,89,24,22/9/2025,1,84,"6,181",59,"4,324",42%,2%,8.7,4,87.10%,30%,40%,25,"1,531","1,472"
25-2-FA25-16-439,Logo Satin Edge Scarf Premium | Dark Cherry,Scarves,Premium,Fall25.2,6.86,59,16,17/11/2025,1,58,"2,958",58,"2,958",44%,3%,4.5,14.3,88.90%,0%,7%,0,307,249
